P31749,P52333
P31749,P11362
P31749,P01375
P31749,P03372
P31749,P36544
P31749,P19793
P31749,P07948
P31749,P42261
P31749,Q92769
P31749,O14920
P31749,P04629
P31749,P29466
P31749,Q16665
P31749,P00338
P31749,Q96RI1
P31749,P11473
P31749,Q13224
P31749,P05230
P31749,Q99828
P31749,Q8NER1
P31749,P15692
O94788,P24298
O94788,Q8TD30
O94788,P19793
O94788,Q9NR82
O94788,P10826
O94788,P10276
O94788,P13631
O94788,P54855
O94788,P22310
O94788,Q9HAW9
O94788,O75795
O94788,P35503
O94788,P16662
O94788,P19224
O94788,Q9HAW7
O94788,P06133
O94788,Q9HAW8
O94788,P36537
O94788,Q6V0L0
Q9UM73,P24385
Q9UM73,Q96SW2
Q9UM73,P10276
Q9UM73,P27361
Q9UM73,P42336
Q9UM73,P00533
Q9UM73,P11274
Q9UM73,P42574
Q9UM73,P08581
Q9UM73,P07900
Q9UM73,Q15303
Q9UM73,P23458
Q9UM73,P07949
Q9UM73,P05412
Q9UM73,P12931
Q9UM73,O00329
Q9UM73,O60674
Q9UM73,O95436
Q9UM73,P03372
Q9UM73,P21802
Q9UM73,P11362
Q9UM73,P15692
Q9UM73,P24298
Q9UM73,P52333
P04083,P13569
P04083,P04150
P04083,P01584
P04083,P00533
P04083,P05067
P04083,P42574
P04083,P04054
P04083,P07900
P04083,Q9H1D0
P04083,P06703
P04083,P14780
P04083,P12931
P04083,Q13938
P04083,P01375
P12429,P00533
P12429,Q13938
P12429,P06703
P12429,P07900
P12429,P04054
P12429,P42574
Q16853,P60568
Q16853,P36888
Q16853,P01584
Q16853,P07333
Q16853,P19320
Q16853,O00206
Q16853,P07437
Q16853,P06239
Q16853,P01375
Q16853,P20701
P05067,P00750
P05067,P19838
P05067,P09486
P05067,P27824
P05067,P27361
P05067,P01584
P05067,P35968
P05067,P09038
P05067,P05937
P05067,P00533
P05067,P22748
P05067,Q16665
P05067,P30536
P05067,Q14289
P05067,P03372
P05067,Q8TCU5
P05067,Q9ULB1
P05067,P29466
P05067,P15692
P05067,O00206
P05067,Q9UBS5
P05067,P02786
P05067,P07101
P05067,Q15303
P05067,P42262
P05067,P00747
P05067,P37231
P05067,P14780
P05067,P42261
P05067,P01375
P05067,Q12879
P05067,P04271
P05067,P12931
P05067,P01138
P05067,P05412
P05067,P36544
P05067,P07900
P05067,Q13224
P05067,P62942
P05067,P42574
P05067,P04629
P05067,P10636
P29972,P13569
P29972,P22748
P29972,P06870
P29972,P14780
P29972,P15692
P29972,Q9Y5N1
P29972,P30518
P29972,P51800
P29972,P55017
P10275,P30968
P10275,P24385
P10275,P04150
P10275,P04049
P10275,P11802
P10275,Q01860
P10275,P27361
P10275,P42336
P10275,P09038
P10275,Q00534
P10275,P00533
